State_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Stroke,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,CHD
1,Baldwin,Alabama,AL,162586,48.7,27.2,76.2,23.6,30.5,24.6,7.2,156.5
1,Calhoun,Alabama,AL,112141,79.2,29.2,81.9,27,33.2,25.5,11.2,189.3
1,Chilton,Alabama,AL,41744,70.3,30.3,82.8,31.2,26.5,30,6,188.1
1,Cullman,Alabama,AL,79886,71.1,29.4,76.2,22.2,35,27.6,10,203.6
1,DeKalb,Alabama,AL,67271,58.6,37,80.7,24.3,35.3,19.1,7.8,171.9
1,Elmore,Alabama,AL,73937,60.4,27.7,85,24.8,23,22.6,5.5,138.8
1,Houston,Alabama,AL,94249,55.8,32.9,77.7,29.5,34,25,8.8,152.8
1,Jefferson,Alabama,AL,657229,80.7,29,79.1,27.1,31.9,23.4,9.7,145.6
1,Lauderdale,Alabama,AL,87691,71.5,25.8,77.1,23.8,34.7,21.1,6.7,133.4
1,Lee,Alabama,AL,123254,75.1,25.9,74.9,21.7,24.5,27.1,7.8,164.7
1,Madison,Alabama,AL,298192,60,22.9,75.6,23.1,24.9,21.3,6.5,114.2
1,Marshall,Alabama,AL,85634,84.7,34.8,82.1,27.5,36.8,31.6,7.2,151.9
1,Mobile,Alabama,AL,401427,60.9,30.8,76.2,26.6,27.2,25.1,6.6,186.8
1,Montgomery,Alabama,AL,221619,56.2,28.2,75.6,23.9,27.8,20.7,8.5,171.6
1,Morgan,Alabama,AL,113740,59.5,23.4,74.5,22.5,32.7,28.9,6.7,127.1
1,Shelby,Alabama,AL,171465,67.1,18.9,78.3,20.8,26.7,21,4.8,146.8
1,Tuscaloosa,Alabama,AL,168908,70.5,27.1,79,25.3,29.7,23.8,7.9,161.6
4,Cochise,Arizona,AZ,126106,45.9,22.8,72.7,23.8,26,20.2,9.1,174.6
4,Coconino,Arizona,AZ,123866,54.9,14.8,71,16.5,17.2,19.6,4.2,114.8
4,Gila,Arizona,AZ,51663,50.6,32.7,74.2,24.5,34.5,25.6,8.8,144.3
4,Graham,Arizona,AZ,33073,54.7,25.8,79.4,23.8,24.9,16.1,10.9,149.6
4,Maricopa,Arizona,AZ,3635528,47,23.3,74.7,19.9,21.4,19.9,6.3,170.9
4,Mohave,Arizona,AZ,187200,51,27.9,77.6,25,30.6,29.4,7.5,183.9
4,Navajo,Arizona,AZ,108432,58.8,23.7,75.4,25.1,27.1,19.8,8.8,140.6
4,Pima,Arizona,AZ,924786,48.1,20.9,70.7,19.7,23.8,18.7,6.6,146.7
4,Pinal,Arizona,AZ,229549,42.3,26.9,73.8,26.7,28.3,21.8,10.6,153.7
4,Yavapai,Arizona,AZ,198701,52.2,23.4,69.3,16,28.5,21.9,5.7,134.4
4,Yuma,Arizona,AZ,181277,34.5,26.7,73.5,25.7,26.8,16.2,9.2,106.2
5,Baxter,Arkansas,AR,40330,77,24.9,71.9,22.7,33.8,25.4,10.2,156.9
5,Benton,Arkansas,AR,186938,49.7,22.3,77.4,21.5,25.4,21.4,5.8,222.5
